年月日,時刻,日経平均株価
2020/1/17,11:15:02,24070.02
2020/1/17,11:20:02,24071.7
2020/1/17,11:25:02,24054.57
2020/1/17,11:30:02,24052.22
2020/1/17,11:35:02,24050.16
2020/1/17,12:35:02,24054.48
2020/1/17,12:40:02,24047.02
2020/1/17,12:45:02,24049.06
2020/1/17,12:50:02,24053.57
2020/1/17,12:55:02,24053.35
2020/1/17,13:00:02,24055.29
2020/1/17,13:05:02,24048.72
2020/1/17,13:10:02,24046.23
2020/1/17,13:15:02,24046.23
2020/1/17,13:20:02,24050.63
2020/1/17,13:25:03,24046.64
2020/1/17,13:30:02,24044.86
2020/1/17,13:35:02,24043.88
2020/1/17,13:40:02,24040.77
2020/1/17,13:45:02,24039.4
2020/1/17,13:50:02,24043.57
2020/1/17,13:55:02,24046.94
2020/1/17,14:00:03,24038.65
2020/1/17,14:05:03,24040.94
2020/1/17,14:11:03,24029.54
2020/1/17,14:15:05,24030.7
2020/1/17,14:20:04,24029.96
2020/1/17,14:25:02,24032.85
2020/1/17,14:30:02,24046.18
2020/1/17,14:35:02,24048.06
2020/1/17,14:40:02,24058.52
2020/1/17,14:45:02,24053.84
2020/1/17,14:50:05,24046.9
2020/1/17,14:55:04,24036.47
2020/1/17,15:00:05,24040.02
2020/1/17,15:05:05,24041.26
2020/1/20,9:05:07,24091.62
2020/1/20,9:10:02,24076.17
2020/1/20,9:15:02,24084.07
2020/1/20,9:20:02,24096.18
2020/1/20,9:25:02,24098.51
2020/1/20,9:30:02,24095.49
2020/1/20,9:35:02,24083.94
2020/1/20,9:40:02,24088.9
2020/1/20,9:45:02,24075.19
2020/1/20,9:50:02,24073.21
2020/1/20,9:55:02,24072.25
2020/1/20,10:00:02,24065.45
2020/1/20,10:05:02,24073.75
2020/1/20,10:10:03,24074.37
2020/1/20,10:15:02,24081.04
2020/1/20,10:20:02,24076.48
2020/1/20,10:25:02,24080.06
2020/1/20,10:30:05,24085.4
2020/1/20,10:35:05,24079.34
2020/1/20,10:40:04,24078.52
2020/1/20,10:45:05,24085.57
2020/1/20,10:50:05,24084.88
2020/1/20,10:55:05,24090.84
2020/1/20,11:00:05,24085.08
2020/1/20,11:05:05,24083.99
2020/1/20,11:10:07,24093.48
2020/1/20,11:15:06,24096.29
2020/1/20,11:20:04,24095.19
2020/1/20,11:25:05,24099.4
2020/1/20,11:30:02,24107.37
2020/1/20,11:35:02,24101.29
2020/1/20,12:35:05,24092.98
2020/1/20,12:40:06,24094.12
2020/1/20,12:45:04,24093.55
2020/1/20,12:50:02,24097.32
2020/1/20,12:55:02,24096.7
2020/1/20,13:00:02,24100.13
2020/1/20,13:05:02,24096.53
2020/1/20,13:10:03,24100.49
2020/1/20,13:15:03,24101.34
2020/1/20,13:20:03,24101.63
2020/1/20,13:25:02,24096.43
2020/1/20,13:30:02,24097.69
2020/1/20,13:35:02,24097.79
2020/1/20,13:40:02,24102.45
2020/1/20,13:45:02,24101
2020/1/20,13:50:02,24099.01
2020/1/20,13:55:02,24100.31
2020/1/20,14:00:02,24099.03
2020/1/20,14:05:02,24105.66
2020/1/20,14:10:02,24101.51
2020/1/20,14:15:03,24098.94
2020/1/20,14:20:02,24105.68
2020/1/20,14:25:02,24101.66
2020/1/20,14:30:02,24093.09
2020/1/20,14:35:02,24097.99
2020/1/20,14:40:02,24098.06
2020/1/20,14:45:02,24098.15
2020/1/20,14:50:02,24095.96
2020/1/20,14:55:02,24091.95
2020/1/20,15:00:02,24085.19
2020/1/20,15:05:02,24083.51
2020/1/21,9:05:07,24067.81
2020/1/21,9:10:02,24058.68
2020/1/21,9:15:03,24058.13
2020/1/21,9:20:03,24059.31
2020/1/21,9:25:04,24056.35
2020/1/21,9:30:04,24059.83
2020/1/21,9:35:04,24061.51
2020/1/21,9:40:04,24059.95
2020/1/21,9:45:03,24065.63
2020/1/21,9:50:04,24062.7
2020/1/21,9:55:04,24063.14
2020/1/21,10:00:04,24065.63
2020/1/21,10:05:02,24051.13
2020/1/21,10:10:05,24044.81
2020/1/21,10:15:04,24022.2
2020/1/21,10:20:04,23940.81
2020/1/21,10:25:03,23925.78
2020/1/21,10:30:04,23929.57
2020/1/21,10:35:03,23882.45
2020/1/21,10:40:04,23906.8
2020/1/21,10:45:04,23886.29
2020/1/21,10:50:04,23890.85
2020/1/21,10:55:05,23884.82
2020/1/21,11:00:05,23878.98
2020/1/21,11:05:02,23894.52
2020/1/21,11:10:02,23905.89
2020/1/21,11:15:04,23906.97
2020/1/21,11:20:03,23905.19
2020/1/21,11:25:02,23892.62
2020/1/21,11:30:02,23897.3
2020/1/21,11:33:15,23902.6
2020/1/21,12:35:02,23870.9
2020/1/21,12:36:27,23882.13
2020/1/21,12:40:02,23888.32
2020/1/21,12:40:12,23887.9
2020/1/21,12:45:02,23886.43
2020/1/21,12:50:02,23869.78
2020/1/21,12:55:02,23856.25
2020/1/21,13:00:02,23868.5
2020/1/21,13:05:02,23876.62
2020/1/21,13:10:02,23873.41
2020/1/21,13:15:02,23879.4
2020/1/21,13:20:02,23873.02
2020/1/21,13:25:03,23856.18
2020/1/21,13:30:02,23855.7
2020/1/21,13:35:02,23853.49
2020/1/21,13:40:02,23858.18
2020/1/21,13:45:02,23859.95
2020/1/21,13:50:06,23868.8
2020/1/21,13:55:04,23862.89
2020/1/21,14:00:05,23867.22
2020/1/21,14:05:04,23875.03
2020/1/21,14:10:05,23882.29
2020/1/21,14:15:04,23873.46
2020/1/21,14:20:05,23873.32
2020/1/21,14:25:05,23864.7
2020/1/21,14:30:05,23864.48
2020/1/21,14:35:07,23865.62
2020/1/21,14:40:04,23873.87
2020/1/21,14:45:04,23880.88
2020/1/21,14:50:05,23873.43
2020/1/21,14:55:04,23851.59
2020/1/21,15:00:05,23852.57
2020/1/21,15:05:05,23864.56
2020/1/22,9:05:30,23843.93
2020/1/22,9:10:16,23856.48
2020/1/22,9:15:09,23856.32
2020/1/22,9:26:26,23884.61
2020/1/22,9:30:31,23881.55
2020/1/22,9:35:06,23899.45
2020/1/22,9:40:06,23890.96
2020/1/22,9:45:06,23870.98
2020/1/22,9:50:09,23887.38
2020/1/22,9:55:06,23890.65
2020/1/22,10:00:07,23896.05
2020/1/22,10:05:09,23907.36
2020/1/22,10:10:11,23905.76
2020/1/22,10:15:08,23913.95
2020/1/22,10:20:06,23921.41
2020/1/22,10:25:07,23940.89
2020/1/22,10:30:07,23928.75
2020/1/22,10:35:08,23947.15
2020/1/22,10:40:05,23931.48
2020/1/22,10:45:04,23913.12
2020/1/22,10:50:04,23919.15
2020/1/22,10:55:04,23905.5
2020/1/22,11:00:07,23904.4
2020/1/22,11:15:02,23941.02
2020/1/22,11:20:03,23955.46
2020/1/22,11:25:10,23981.75
2020/1/22,11:30:13,23990.4
2020/1/22,11:35:14,23985.5
2020/1/22,12:35:02,24030.5
2020/1/22,12:40:02,24015.72
2020/1/22,12:45:02,24018.63
2020/1/22,12:50:02,24010.42
2020/1/22,12:55:13,24014.53
2020/1/22,13:00:08,24004.98
2020/1/22,13:05:02,24005.35
2020/1/22,13:10:02,23996.32
2020/1/22,13:15:02,24002.72
2020/1/22,13:20:03,23996.35
2020/1/22,13:25:08,23999.01
2020/1/22,13:30:02,24000.4
2020/1/22,13:35:02,24003.73
2020/1/22,13:40:05,24007.82
2020/1/22,13:45:09,24006.57
2020/1/22,13:50:08,24004.76
2020/1/22,13:55:11,23996.41
2020/1/22,14:00:17,23993.92
2020/1/22,14:05:15,24002.07
2020/1/22,14:10:14,24000.24
2020/1/22,14:15:12,24001.99
2020/1/22,14:20:08,24011.96
2020/1/22,14:25:02,24006.33
2020/1/22,14:30:04,24012.26
2020/1/22,14:35:02,24024.56
2020/1/22,14:40:13,24031.55
2020/1/22,14:45:08,24033.54
2020/1/22,14:50:02,24033.01
2020/1/22,14:55:05,24027.52
2020/1/22,15:00:10,24033.37
2020/1/22,15:05:02,24031.35
2020/1/23,9:05:29,23853.52
2020/1/23,9:10:09,23850.91
2020/1/23,9:15:09,23837.9
2020/1/23,9:20:09,23811.5
2020/1/23,9:25:09,23788.69
2020/1/23,9:30:07,23789.7
2020/1/23,9:35:07,23803.84
2020/1/23,9:40:06,23867.68
2020/1/23,9:45:06,23846.81
2020/1/23,9:50:04,23872.85
2020/1/23,9:55:10,23862.12
2020/1/23,10:00:05,23873.53
2020/1/23,10:05:05,23851.13
2020/1/23,10:10:10,23852.64
2020/1/23,10:15:07,23859.98
2020/1/23,10:20:04,23869.92
2020/1/23,10:25:09,23870.17
2020/1/23,10:30:04,23878.48
2020/1/23,10:35:09,23866.79
2020/1/23,10:40:06,23891.25
2020/1/23,10:45:04,23876.3
2020/1/23,10:50:04,23874.55
2020/1/23,10:55:09,23878.05
2020/1/23,11:00:09,23881.89
2020/1/23,11:05:07,23891.47
2020/1/23,11:10:06,23904.42
2020/1/23,11:15:09,23898.89
2020/1/23,11:20:03,23873.28
2020/1/23,11:25:09,23876.62
2020/1/23,11:30:04,23878.48
2020/1/23,11:35:04,23877.89
2020/1/23,12:35:03,23826.36
2020/1/23,12:40:03,23820.61
2020/1/23,12:45:08,23821.61
2020/1/23,12:50:06,23829.88
2020/1/23,12:55:09,23828.33
2020/1/23,13:00:03,23824.78
2020/1/23,13:05:03,23802.06
2020/1/23,13:10:03,23810.93
2020/1/23,13:15:04,23804.92
2020/1/23,13:20:11,23813.65
2020/1/23,13:25:08,23814.07
2020/1/23,13:30:04,23815.12
2020/1/23,13:35:04,23820.77
2020/1/23,13:45:05,23833.11
2020/1/23,13:50:05,23826.55
2020/1/23,13:55:10,23823.28
2020/1/23,14:00:03,23822.28
2020/1/23,14:05:04,23815.25
2020/1/23,14:10:07,23809.33
2020/1/23,14:15:06,23791.08
2020/1/23,14:20:08,23794.78
2020/1/23,14:25:12,23804.88
2020/1/23,14:30:06,23795.07
2020/1/23,14:40:55,23803.16
2020/1/23,14:45:15,23798.52
2020/1/23,14:50:08,23807.13
2020/1/23,14:55:08,23804.72
2020/1/23,15:00:06,23798.57
2020/1/23,15:05:05,23795.44
2020/1/24,9:05:25,23853.23
2020/1/24,9:10:09,23849.6
2020/1/24,9:15:06,23854.96
2020/1/24,9:20:03,23859.34
2020/1/24,9:25:07,23831.11
2020/1/24,9:30:07,23831.86
2020/1/24,9:35:06,23846.87
2020/1/24,9:40:07,23838.28
2020/1/24,9:45:06,23826.11
2020/1/24,9:50:06,23807.61
2020/1/24,9:55:12,23797.07
2020/1/24,10:00:06,23808.19
2020/1/24,10:05:08,23799.67
2020/1/24,10:10:14,23795.4
2020/1/24,10:15:06,23781.3
2020/1/24,10:20:04,23799.17
2020/1/24,10:25:11,23807.81
2020/1/24,10:30:06,23819.85
2020/1/24,10:35:03,23811.22
2020/1/24,10:40:03,23804.1
2020/1/24,10:45:12,23795.22
2020/1/24,10:50:06,23778.76
2020/1/24,10:55:03,23764.74
2020/1/24,11:00:08,23785.33
2020/1/24,11:05:07,23780.98
2020/1/24,11:10:06,23776.95
2020/1/24,11:15:05,23789.9
2020/1/24,11:20:03,23781.12
2020/1/24,11:25:12,23793.89
2020/1/24,11:30:12,23789.67
2020/1/24,11:35:06,23782.67
2020/1/24,12:35:03,23774.44
2020/1/24,12:40:03,23759.13
2020/1/24,12:45:03,23780.86
2020/1/24,12:50:12,23776.35
2020/1/24,12:55:13,23784.02
2020/1/24,13:00:14,23788.13
2020/1/24,13:05:03,23793.21
2020/1/24,13:10:12,23794.02
2020/1/24,13:15:08,23790.24
2020/1/24,13:20:09,23809.7
2020/1/24,13:25:12,23812.5
2020/1/24,13:30:03,23815.2
2020/1/24,13:35:03,23823.4
2020/1/24,13:40:03,23832.75
2020/1/24,13:45:03,23839.11
2020/1/24,13:50:03,23842.35
2020/1/24,13:55:07,23832.71
2020/1/24,14:00:07,23837
2020/1/24,14:05:03,23846.69
2020/1/24,14:10:09,23846.65
2020/1/24,14:15:11,23828.71
2020/1/24,14:20:35,23832.92
2020/1/24,14:25:09,23825.67
2020/1/24,14:30:03,23829.79
2020/1/24,14:35:03,23831.11
2020/1/24,14:40:03,23825.15
2020/1/24,14:45:16,23814.57
2020/1/24,14:50:03,23812.73
2020/1/24,14:55:03,23804.1
2020/1/24,15:00:03,23810.36
2020/1/24,15:05:03,23827.18
2020/1/27,9:05:30,23356.29
2020/1/27,9:10:13,23347.68
2020/1/27,9:15:11,23362.3
2020/1/27,9:20:14,23401.27
2020/1/27,9:25:18,23411.12
2020/1/27,9:30:14,23403.75
2020/1/27,9:35:12,23377.46
2020/1/27,9:40:12,23402.72
2020/1/27,9:45:11,23413.36
2020/1/27,9:50:08,23425.47
2020/1/27,9:55:04,23421.5
2020/1/27,10:00:09,23434.8
2020/1/27,10:05:07,23446.13
2020/1/27,10:10:08,23452.72
2020/1/27,10:15:07,23435.43
2020/1/27,10:20:06,23418.37
2020/1/27,10:25:11,23430.1
2020/1/27,10:30:08,23444.09
2020/1/27,10:35:03,23429.52
2020/1/27,10:40:03,23426.79
2020/1/27,10:45:03,23415.26
2020/1/27,10:52:43,23439.56
2020/1/27,10:55:08,23443.84
2020/1/27,11:00:08,23436.42
2020/1/27,11:05:03,23425.45
2020/1/27,11:10:04,23407.22
2020/1/27,11:15:23,23394.06
2020/1/27,11:20:12,23396.9
2020/1/27,11:25:10,23391.28
2020/1/27,11:30:09,23378.74
2020/1/27,11:35:06,23372.06
2020/1/27,12:35:03,23398.53
2020/1/27,12:40:03,23407.12
2020/1/27,12:45:03,23422.46
2020/1/27,12:50:03,23426.37
2020/1/27,12:55:03,23406.33
2020/1/27,13:00:03,23404.51
2020/1/27,13:05:03,23395.3
2020/1/27,13:10:09,23399.21
2020/1/27,13:15:06,23389.76
2020/1/27,13:20:07,23392.18
2020/1/27,13:25:10,23386.91
2020/1/27,13:30:08,23398.03
2020/1/27,13:35:06,23383.28
2020/1/27,13:40:08,23384.07
2020/1/27,13:45:06,23386.08
2020/1/27,13:50:09,23393.2
2020/1/27,13:55:07,23387.18
2020/1/27,14:00:10,23386.84
2020/1/27,14:05:07,23397.9
2020/1/27,14:10:09,23369.45
2020/1/27,14:15:03,23361.13
2020/1/27,14:20:03,23356.98
2020/1/27,14:25:04,23349.69
2020/1/27,14:30:03,23359.84
2020/1/27,14:35:03,23370.93
2020/1/27,14:40:03,23359.63
2020/1/27,14:45:03,23351.31
2020/1/27,14:50:03,23351.03
2020/1/27,14:55:03,23335.31
2020/1/27,15:00:03,23328.54
2020/1/27,15:05:03,23343.51
2020/1/28,9:05:26,23138.08
2020/1/28,9:16:38,23120.76
2020/1/28,9:20:40,23118.34
2020/1/28,9:25:09,23133.31
2020/1/28,9:30:09,23133
2020/1/28,9:35:07,23131.03
2020/1/28,9:40:12,23145.4
2020/1/28,9:45:06,23146.75
2020/1/28,9:50:05,23157.89
2020/1/28,9:55:07,23166.79
2020/1/28,10:00:07,23135.7
2020/1/28,10:05:07,23165.24
2020/1/28,10:10:11,23196.18
2020/1/28,10:15:09,23180.76
2020/1/28,10:20:11,23161.28
2020/1/28,10:25:08,23154.3
2020/1/28,10:30:11,23149.86
2020/1/28,10:35:06,23138.56
2020/1/28,10:40:11,23146.77
2020/1/28,10:45:06,23152.21
2020/1/28,10:50:05,23146.58
2020/1/28,10:55:09,23160.27
2020/1/28,11:00:09,23169.82
2020/1/28,11:05:06,23138.28
2020/1/28,11:10:18,23136.05
2020/1/28,11:15:10,23149.05
2020/1/28,11:20:09,23145.28
2020/1/28,11:25:11,23136.27
2020/1/28,11:30:10,23121.53
2020/1/28,11:35:09,23124.51
2020/1/28,12:35:03,23126.79
2020/1/28,12:40:03,23131.56
2020/1/28,12:45:09,23135.48
2020/1/28,12:50:11,23137.72
2020/1/28,12:55:09,23148.51
2020/1/28,13:00:11,23143.61
2020/1/28,13:05:11,23158.05
2020/1/28,13:10:06,23144.26
2020/1/28,13:15:15,23127.17
2020/1/28,13:28:23,23137.98
2020/1/28,13:30:07,23138.22
2020/1/28,13:40:04,23153.85
2020/1/28,13:45:09,23147.6
2020/1/28,13:50:04,23157.56
2020/1/28,13:55:08,23162.54
2020/1/28,14:00:08,23166.03
2020/1/28,14:05:05,23162.58
2020/1/28,14:10:04,23145.23
2020/1/28,14:15:09,23147.99
2020/1/28,14:20:11,23157.83
2020/1/28,14:25:08,23164.3
2020/1/28,14:30:10,23171.77
2020/1/28,14:35:08,23190.64
2020/1/28,14:40:08,23191.52
2020/1/28,14:45:04,23200.01
2020/1/28,14:50:03,23234.92
2020/1/28,14:55:09,23210.86
2020/1/28,15:00:10,23228.41
2020/1/28,15:05:07,23215.71
2020/1/29,9:05:26,23297.71
2020/1/29,9:10:14,23277.95
2020/1/29,9:15:14,23278.99
2020/1/29,9:20:14,23282.17
2020/1/29,9:25:16,23247.56
2020/1/29,9:30:17,23222.39
2020/1/29,9:35:18,23221.96
2020/1/29,9:40:14,23233.31
2020/1/29,9:45:11,23241.1
2020/1/29,9:50:08,23248.07
2020/1/29,9:55:13,23258.64
